Sl.No, n, c, d, q, Total Flow, Total Utility
1, 100, 20, 20, 100, 96.0, 44.79642930007626
2, 100, 20, 20, 100, 89.0, 39.88854909147014
3, 100, 20, 20, 100, 97.0, 45.63640104829524
4, 100, 20, 20, 100, 90.0, 20.587244597624835
5, 100, 20, 20, 100, 90.0, 42.51970707029947
6, 100, 20, 20, 100, 98.0, 45.80876149022449
7, 100, 20, 20, 100, 90.0, 26.647563889280867
8, 100, 20, 20, 100, 90.0, 29.231964957398144
9, 100, 20, 20, 100, 98.0, 49.498205581932424
10, 100, 20, 20, 100, 94.0, 37.4080305176329
11, 100, 20, 20, 100, 97.0, 47.52622740341637
12, 100, 20, 20, 100, 94.0, 31.04249759060035
13, 100, 20, 20, 100, 93.0, 34.50848081180758
14, 100, 20, 20, 100, 84.0, 26.86993615755075
15, 100, 20, 20, 100, 84.0, 23.15372412343352
16, 100, 20, 20, 100, 88.0, 25.25352780879922
17, 100, 20, 20, 100, 85.0, 33.67917196807394
18, 100, 20, 20, 100, 86.0, 47.29853861860215
19, 100, 20, 20, 100, 90.0, 37.44992337470377
20, 100, 20, 20, 100, 94.0, 34.46690802411125
21, 100, 20, 20, 100, 88.0, 40.75029713744797
22, 100, 20, 20, 100, 95.0, 36.84600300914727
23, 100, 20, 20, 100, 94.0, 38.88576115862978
24, 100, 20, 20, 100, 93.0, 33.19067939582683
25, 100, 20, 20, 100, 90.0, 32.551786967784196
26, 100, 20, 20, 100, 94.0, 34.09508829366986
27, 100, 20, 20, 100, 92.0, 33.10224262630608
28, 100, 20, 20, 100, 92.0, 36.703030748599005
29, 100, 20, 20, 100, 95.0, 45.39296588647614
30, 100, 20, 20, 100, 94.0, 45.571899208293225
31, 100, 20, 20, 100, 96.0, 48.53842732261985
32, 100, 20, 20, 100, 93.0, 46.06626519229098
33, 100, 20, 20, 100, 99.0, 42.94959823553915
34, 100, 20, 20, 100, 87.0, 24.72428058431094
35, 100, 20, 20, 100, 91.0, 41.408616351713306
36, 100, 20, 20, 100, 90.0, 27.48096475299196
37, 100, 20, 20, 100, 94.0, 40.178455493992914
38, 100, 20, 20, 100, 92.0, 38.29218030202569
39, 100, 20, 20, 100, 98.0, 49.746483940843056
40, 100, 20, 20, 100, 95.0, 36.085886362141004
41, 100, 20, 20, 100, 96.0, 44.356911689109985
42, 100, 20, 20, 100, 97.0, 51.09350462718774
43, 100, 20, 20, 100, 83.0, 31.091573033956866
44, 100, 20, 20, 100, 93.0, 39.91926700462691
45, 100, 20, 20, 100, 90.0, 35.13732752945124
46, 100, 20, 20, 100, 86.0, 33.97493033174915
47, 100, 20, 20, 100, 93.0, 40.93650409092815
48, 100, 20, 20, 100, 90.0, 25.950938636680572
49, 100, 20, 20, 100, 93.0, 29.87078543666097
50, 100, 20, 20, 100, 90.0, 27.758712668526364
51, 100, 20, 20, 100, 93.0, 31.548729771096998
52, 100, 20, 20, 100, 95.0, 33.766994537266754
53, 100, 20, 20, 100, 85.0, 31.10700910932996
54, 100, 20, 20, 100, 82.0, 30.859027137118918
55, 100, 20, 20, 100, 86.0, 41.679970155609276
56, 100, 20, 20, 100, 97.0, 46.08171210050425
57, 100, 20, 20, 100, 90.0, 49.12791822917155
58, 100, 20, 20, 100, 95.0, 41.23951054659039
59, 100, 20, 20, 100, 91.0, 42.678558458871855
60, 100, 20, 20, 100, 95.0, 42.374848180836416
61, 100, 20, 20, 100, 86.0, 36.85461118185467
62, 100, 20, 20, 100, 93.0, 36.77200895171834
63, 100, 20, 20, 100, 95.0, 28.809421656610432
64, 100, 20, 20, 100, 82.0, 28.527111279962607
65, 100, 20, 20, 100, 95.0, 39.612156346399516
66, 100, 20, 20, 100, 95.0, 42.597638909620834
67, 100, 20, 20, 100, 88.0, 33.336811444743546
68, 100, 20, 20, 100, 93.0, 43.1852910437858
69, 100, 20, 20, 100, 99.0, 39.81720161602491
70, 100, 20, 20, 100, 92.0, 28.50527599520973
71, 100, 20, 20, 100, 98.0, 49.41741656472662
72, 100, 20, 20, 100, 86.0, 36.84634683472363
73, 100, 20, 20, 100, 83.0, 29.036676436951744
74, 100, 20, 20, 100, 97.0, 51.393871086602964
75, 100, 20, 20, 100, 97.0, 40.12796047520805
76, 100, 20, 20, 100, 95.0, 34.6874072199642
77, 100, 20, 20, 100, 97.0, 40.29305767846291
78, 100, 20, 20, 100, 89.0, 34.808103900125005
79, 100, 20, 20, 100, 90.0, 37.741592091289235
80, 100, 20, 20, 100, 89.0, 30.15156412396076
81, 100, 20, 20, 100, 95.0, 42.18246007335483
82, 100, 20, 20, 100, 86.0, 31.64599651303094
83, 100, 20, 20, 100, 94.0, 32.171901313663206
84, 100, 20, 20, 100, 93.0, 36.40244013954787
85, 100, 20, 20, 100, 87.0, 25.600295090722167
86, 100, 20, 20, 100, 96.0, 45.57674654094747
87, 100, 20, 20, 100, 88.0, 43.43904385850655
88, 100, 20, 20, 100, 86.0, 34.21164931164988
89, 100, 20, 20, 100, 85.0, 30.109191625977612
90, 100, 20, 20, 100, 94.0, 47.85739886926395
91, 100, 20, 20, 100, 94.0, 35.977256351230544
92, 100, 20, 20, 100, 95.0, 32.81984768162355
93, 100, 20, 20, 100, 84.0, 29.468611328822742
94, 100, 20, 20, 100, 94.0, 38.328998396125215
95, 100, 20, 20, 100, 87.0, 24.83966898648645
96, 100, 20, 20, 100, 94.0, 36.78533737600497
97, 100, 20, 20, 100, 90.0, 33.2652294515124
98, 100, 20, 20, 100, 88.0, 26.396827652492338
99, 100, 20, 20, 100, 91.0, 32.22295749561572
100, 100, 20, 20, 100, 96.0, 37.595602064061744
101, 100, 20, 20, 100, 90.0, 30.857842000252283
102, 100, 20, 20, 100, 89.0, 38.88214031597264
103, 100, 20, 20, 100, 94.0, 29.668473037281988
104, 100, 20, 20, 100, 92.0, 38.74245494356096
105, 100, 20, 20, 100, 89.0, 31.695054097344762
106, 100, 20, 20, 100, 85.0, 27.556069397083263
107, 100, 20, 20, 100, 86.0, 20.936692926713672
108, 100, 20, 20, 100, 91.0, 29.716669510471803
109, 100, 20, 20, 100, 92.0, 40.48651772474162
110, 100, 20, 20, 100, 91.0, 41.714532430658736
111, 100, 20, 20, 100, 95.0, 34.161244678095755
112, 100, 20, 20, 100, 89.0, 38.02531335790652
113, 100, 20, 20, 100, 93.0, 39.76684480974441
114, 100, 20, 20, 100, 94.0, 45.43388272696999
115, 100, 20, 20, 100, 86.0, 32.499613359815484
116, 100, 20, 20, 100, 95.0, 37.80506503628122
117, 100, 20, 20, 100, 92.0, 28.968767031633895
118, 100, 20, 20, 100, 95.0, 43.11379524014401
119, 100, 20, 20, 100, 86.0, 24.741564187017428
120, 100, 20, 20, 100, 92.0, 41.7298473186618
121, 100, 20, 20, 100, 89.0, 32.841566028462175
122, 100, 20, 20, 100, 92.0, 27.03912821435985
123, 100, 20, 20, 100, 92.0, 46.94809515808734
124, 100, 20, 20, 100, 95.0, 43.21018971175643
125, 100, 20, 20, 100, 78.0, 22.576131379444814
126, 100, 20, 20, 100, 85.0, 38.69299724962304
127, 100, 20, 20, 100, 93.0, 29.003284070185746
128, 100, 20, 20, 100, 92.0, 45.94685001190671
129, 100, 20, 20, 100, 94.0, 37.62240007118508
130, 100, 20, 20, 100, 90.0, 35.03813800159562
131, 100, 20, 20, 100, 83.0, 26.709563036819016
132, 100, 20, 20, 100, 88.0, 34.54066149878397
133, 100, 20, 20, 100, 87.0, 27.752669165634586
134, 100, 20, 20, 100, 86.0, 39.64788223786978
135, 100, 20, 20, 100, 95.0, 39.612447055012346
136, 100, 20, 20, 100, 89.0, 31.563172322711694
137, 100, 20, 20, 100, 92.0, 34.83420069334976
138, 100, 20, 20, 100, 95.0, 39.260607109879956
139, 100, 20, 20, 100, 88.0, 27.920943380381505
140, 100, 20, 20, 100, 93.0, 33.796352963795265
141, 100, 20, 20, 100, 82.0, 30.223958062539523
142, 100, 20, 20, 100, 95.0, 36.76057112885461
143, 100, 20, 20, 100, 99.0, 48.452264873668994
144, 100, 20, 20, 100, 97.0, 35.04532673546235
145, 100, 20, 20, 100, 90.0, 36.12100282576392
146, 100, 20, 20, 100, 95.0, 41.17483728803093
147, 100, 20, 20, 100, 93.0, 36.04726399884533
148, 100, 20, 20, 100, 94.0, 42.148296071305694
149, 100, 20, 20, 100, 91.0, 32.41827001060121
150, 100, 20, 20, 100, 96.0, 45.126993430712844
151, 100, 20, 20, 100, 87.0, 37.503435895857294
152, 100, 20, 20, 100, 91.0, 36.68249940467528
153, 100, 20, 20, 100, 92.0, 35.26337529429778
154, 100, 20, 20, 100, 96.0, 42.59876972812432
155, 100, 20, 20, 100, 89.0, 26.02234094597182
156, 100, 20, 20, 100, 91.0, 29.869406990059698
157, 100, 20, 20, 100, 88.0, 36.90698937776777
158, 100, 20, 20, 100, 87.0, 34.05350286619896
159, 100, 20, 20, 100, 97.0, 41.790797822494255
160, 100, 20, 20, 100, 90.0, 39.822276027105175
161, 100, 20, 20, 100, 88.0, 32.43437510464762
162, 100, 20, 20, 100, 81.0, 23.968093840120964
163, 100, 20, 20, 100, 95.0, 42.24238883569802
164, 100, 20, 20, 100, 97.0, 37.02646237818231
165, 100, 20, 20, 100, 90.0, 31.418253992233122
166, 100, 20, 20, 100, 90.0, 33.842473135776736
167, 100, 20, 20, 100, 91.0, 31.126950376117524
168, 100, 20, 20, 100, 89.0, 32.955135084509024
169, 100, 20, 20, 100, 97.0, 43.20874244973617
170, 100, 20, 20, 100, 94.0, 43.03599445567471
171, 100, 20, 20, 100, 82.0, 31.601193556301464
172, 100, 20, 20, 100, 99.0, 31.8463809024934
173, 100, 20, 20, 100, 93.0, 36.03991120578555
174, 100, 20, 20, 100, 99.0, 47.424922657712436
175, 100, 20, 20, 100, 94.0, 43.569686836152826
176, 100, 20, 20, 100, 94.0, 37.72254427498007
177, 100, 20, 20, 100, 95.0, 41.764151660778865
178, 100, 20, 20, 100, 92.0, 25.676813485878803
179, 100, 20, 20, 100, 99.0, 43.48275101264758
180, 100, 20, 20, 100, 94.0, 45.540123478503716
181, 100, 20, 20, 100, 96.0, 46.80208412132819
182, 100, 20, 20, 100, 91.0, 32.697171578624655
183, 100, 20, 20, 100, 97.0, 32.58959098020536
184, 100, 20, 20, 100, 93.0, 43.17055002814861
185, 100, 20, 20, 100, 85.0, 31.083707286123733
186, 100, 20, 20, 100, 92.0, 33.62509966097571
187, 100, 20, 20, 100, 82.0, 35.77456042717684
188, 100, 20, 20, 100, 96.0, 31.96613636985561
189, 100, 20, 20, 100, 93.0, 42.590976330187225
190, 100, 20, 20, 100, 95.0, 32.36293033124182
191, 100, 20, 20, 100, 86.0, 46.87761486721252
192, 100, 20, 20, 100, 88.0, 23.021100749738327
193, 100, 20, 20, 100, 93.0, 24.898131311459657
194, 100, 20, 20, 100, 89.0, 39.130774449033666
195, 100, 20, 20, 100, 87.0, 42.548586915218266
196, 100, 20, 20, 100, 93.0, 42.38468536931983
197, 100, 20, 20, 100, 83.0, 21.538421347087116
198, 100, 20, 20, 100, 88.0, 32.4380613433479
199, 100, 20, 20, 100, 100.0, 48.52900991002752
200, 100, 20, 20, 100, 97.0, 43.632530663373274
